company,Company_Status,location,location_Status,industry,Industry_Status,total_laid_off,layoffs_Status,percentage_laid_off,Percentage_Status,date,Date_Status,year,Year_Status,Month,Month_Status,stage,country,funds_raised_millions,Funds_Status
ASANA,Reported,SF BAY AREA,Reported,OTHER,Reported,180,Reported,0.09,Reported,15/11/2022,Reported,2022,Reported,11,Reported,POST-IPO,UNITED STATES,453,Reported
ASKNICELY,Reported,PORTLAND,Reported,SUPPORT,Reported,0,missing,0,missing,07/04/2020,Reported,2020,Reported,4,Reported,SERIES A,UNITED STATES,15,Reported
ASPIRE,Reported,SF BAY AREA,Reported,MARKETING,Reported,23,Reported,0,missing,15/07/2022,Reported,2022,Reported,7,Reported,SERIES A,UNITED STATES,27,Reported
ASSURE,Reported,SALT LAKE CITY,Reported,FINANCE,Reported,0,missing,1,Reported,23/11/2022,Reported,2022,Reported,11,Reported,SEED,UNITED STATES,2,Reported
ASTRA,Reported,SF BAY AREA,Reported,AEROSPACE,Reported,0,missing,0.16,Reported,08/11/2022,Reported,2022,Reported,11,Reported,POST-IPO,UNITED STATES,300,Reported
ASTRA,Reported,SF BAY AREA,Reported,AEROSPACE,Reported,40,Reported,0.25,Reported,05/04/2020,Reported,2020,Reported,4,Reported,UNKNOWN,UNITED STATES,100,Reported
ASTRONOMER,Reported,CINCINNATI,Reported,DATA,Reported,76,Reported,0.2,Reported,04/01/2023,Reported,2023,Reported,1,Reported,SERIES C,UNITED STATES,282,Reported
ATLANTA TECH VILLAGE,Reported,ATLANTA,Reported,REAL ESTATE,Reported,0,missing,0.5,Reported,02/04/2020,Reported,2020,Reported,4,Reported,UNKNOWN,UNITED STATES,0,missing
ATLAS OBSCURA,Reported,NEW YORK CITY,Reported,MEDIA,Reported,15,Reported,0,missing,18/06/2020,Reported,2020,Reported,6,Reported,SERIES B,UNITED STATES,32,Reported
ATLASSIAN,Reported,SYDNEY,Reported,OTHER,Reported,500,Reported,0.05,Reported,06/03/2023,Reported,2023,Reported,3,Reported,POST-IPO,AUSTRALIA,210,Reported
ATOB,Reported,SF BAY AREA,Reported,FINANCE,Reported,32,Reported,0.3,Reported,19/10/2022,Reported,2022,Reported,10,Reported,SERIES B,UNITED STATES,177,Reported
ATOME,Reported,SINGAPORE,Reported,FINANCE,Reported,0,missing,0,missing,06/10/2022,Reported,2022,Reported,10,Reported,UNKNOWN,SINGAPORE,645,Reported
